,Unnamed: 0,Title,Production company,Cast and crew,Rank,Genre,Tickets Sold,Release Year Gross,ReleaseYear
212,213,Zootopia,Walt Disney Pictures / Walt Disney Animation Studios,"Byron Howard, Rich Moore (directors); Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J. K. Simmons, Octavia Spencer, Alan Tudyk, Shakira",7,Adventure,39452976.0,341268248.0,2016
213,214,London Has Fallen,Focus Features,"Babak Najafi (director); Gerard Butler, Aaron Eckhart, Morgan Freeman, Alon Moni Aboutboul, Angela Bassett, Robert Forster, Melissa Leo, Radha Mitchell",50,Thriller/Suspense,7228238.0,62524260.0,2016
214,215,Whiskey Tango Foxtrot,Paramount Pictures,"Glenn Ficarra, John Requa (directors); Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina, Christopher Abbott, Billy Bob Thornton",105,Comedy,2668593.0,23083334.0,2016
215,216,The Other Side of the Door,20th Century Fox,"Johannes Roberts (director); Sarah Wayne Callies, Jeremy Sisto",201,Horror,346860.0,3000342.0,2016
216,217,10 Cloverfield Lane,Paramount Pictures / Bad Robot Productions,"Dan Trachtenberg (director); Josh Campbell, Matt Stuecken, Damien Chazelle (screenplay); John Goodman, Mary Elizabeth Winstead, John Gallagher Jr.",43,Thriller/Suspense,8333294.0,72082999.0,2016
217,218,The Young Messiah,Focus Features,"Cyrus Nowrasteh (director); Adam Greaves-Neal, Sean Bean, David Bradley",161,Drama,747955.0,6469813.0,2016
218,219,The Perfect Match,Lionsgate,"Bille Woodruff (director); Terrence J, Cassie Ventura",146,Romantic Comedy,1117863.0,9669521.0,2016
219,220,Miracles from Heaven,Columbia Pictures,"Patricia Riggen (director); Jennifer Garner, Martin Henderson, John Caroll Lynch, Queen Latifah",51,Drama,7133540.0,61705123.0,2016
220,221,The Bronze,Sony Pictures Classics,"Bryan Buckley (director); Melissa Rauch, Thomas Middleditch",291,Black Comedy,71192.0,615816.0,2016
221,222,Midnight Special,Warner Bros. Pictures / RatPac Entertainment,"Jeff Nichols (director); Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver, Jaeden Martell, Sam Shepard",187,Drama,429166.0,3712282.0,2016
222,223,My Big Fat Greek Wedding 2,Universal Pictures / Gold Circle Films / Playtone,"Kirk Jones (director); Nia Vardalos, John Corbett",53,Comedy,6900532.0,59689605.0,2016
223,224,I Saw the Light,Sony Pictures Classics,"Marc Abraham (director); Tom Hiddleston, Elizabeth Olsen, Cherry Jones, Bradley Whitford",236,Drama,190380.0,1646788.0,2016
224,225,Meet the Blacks,Freestyle Releasing,"Deon Taylor (director); Mike Epps, Gary Owen",151,Comedy,1051684.0,9097072.0,2016
225,226,Miles Ahead,Sony Pictures Classics,"Don Cheadle (director); Don Cheadle, Ewan McGregor, Michael Stuhlbarg",207,Drama,301837.0,2610896.0,2016
226,227,The Boss,Universal Pictures / Gary Sanchez Productions / On The Day Productions,"Ben Falcone (director); Melissa McCarthy, Kristen Bell, Kathy Bates, Tyler Labine, Peter Dinklage",49,Comedy,7292203.0,63077560.0,2016
227,228,Hardcore Henry,STXfilms,"Ilya Naishuller (director); Sharlto Copley, Danila Kozlovsky, Haley Bennett",148,Action,1069599.0,9252038.0,2016
228,229,Demolition,Fox Searchlight Pictures,"Jean-Marc Vallée (director); Jake Gyllenhaal, Naomi Watts, Chris Cooper",221,Drama,228738.0,1978592.0,2016
229,230,The Invitation,Drafthouse Films,"Karyn Kusama (director); Logan Marshall-Green, Tammy Blanchard, Michiel Huisman",353,Thriller/Suspense,26790.0,231738.0,2016
230,231,The Jungle Book,Walt Disney Pictures,"Jon Favreau (director); Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken, Neel Sethi",5,Adventure,42081054.0,364001123.0,2016
231,232,Barbershop: The Next Cut,Warner Bros. Pictures / New Line Cinema / Metro-Goldwyn-Mayer,"Malcolm D. Lee (director); Ice Cube, Cedric the Entertainer, Regina Hall",61,Comedy,6246249.0,54030051.0,2016
232,233,Criminal,Summit Entertainment,"Ariel Vromen (director); Kevin Costner, Gary Oldman, Tommy Lee Jones, Alice Eve, Gal Gadot, Ryan Reynolds",128,Action,1700427.0,14708696.0,2016
233,234,Green Room,A24,"Jeremy Saulnier (director); Anton Yelchin, Imogen Poots, Alia Shawkat, Joe Cole, Callum Turner, Patrick Stewart",197,Horror,372297.0,3220371.0,2016
234,235,A Hologram for the King,Lionsgate / Roadside Attractions / Saban Films,"Tom Tykwer (director); Tom Hanks, Ben Whishaw",177,Drama,486993.0,4212494.0,2016
235,236,Elvis & Nixon,Amazon Studios / Bleecker Street,"Liza Johnson (director); Kevin Spacey, Michael Shannon, Alex Pettyfer, Johnny Knoxville, Colin Hanks, Evan Peters, Tate Donovan, Sky Ferreira, Tracy Letts",258,Drama,121998.0,1055284.0,2016
236,237,Keanu,Warner Bros. Pictures,"Peter Atencio (director); Jordan Peele, Alex Rubens (screenplay); Jordan Peele, Keegan-Michael Key, Tiffany Haddish",111,Comedy,2380561.0,20591853.0,2016
237,238,Captain America: Civil War,Marvel Studios / Walt Disney Studios Motion Pictures,"Anthony Russo, Joe Russo (directors); Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily VanCamp, Tom Holland",3,Action,47177381.0,408084349.0,2016
238,239,Money Monster,Sony Pictures Releasing,"Jodie Foster (director); George Clooney, Julia Roberts, Jack O'Connell",71,Thriller/Suspense,4741280.0,41012075.0,2016
239,240,The Darkness,Blumhouse Productions / Universal Pictures,"Greg McLean (director); Kevin Bacon, Radha Mitchell",141,Horror,1243187.0,10753574.0,2016
